epoch,accuracy,loss,val_accuracy,val_loss
0,0.1104019284248352,3.4500441551208496,0.11538461595773697,2.5983595848083496
1,0.1464550644159317,3.0021846294403076,0.12019230425357819,2.5013911724090576
2,0.1649128794670105,2.7246978282928467,0.12019230425357819,2.5020055770874023
3,0.18112817406654358,2.5198886394500732,0.12019230425357819,2.514129161834717
4,0.20113852620124817,2.333451271057129,0.12019230425357819,2.532609224319458
5,0.22425392270088196,2.257047176361084,0.12019230425357819,2.678778648376465
6,0.2399516999721527,2.1814026832580566,0.12019230425357819,2.863826274871826
7,0.25478696823120117,2.130399465560913,0.12019230425357819,2.6794514656066895
0,0.1081593930721283,3.4248220920562744,0.11538461595773697,2.6626787185668945
1,0.15473520755767822,2.8724799156188965,0.12019230425357819,2.8613977432250977
2,0.18285320699214935,2.5609054565429688,0.12019230425357819,2.6529853343963623
3,0.20355355739593506,2.3582849502563477,0.12019230425357819,2.652064085006714
4,0.23891668021678925,2.2212212085723877,0.12019230425357819,2.592953681945801
5,0.24874936044216156,2.159512996673584,0.12019230425357819,2.7090089321136475
6,0.2622045874595642,2.1011788845062256,0.12019230425357819,2.735464334487915
7,0.2701397240161896,2.080573320388794,0.12019230425357819,2.8128762245178223
0,0.200966015458107,2.210188627243042,0.12019230425357819,2.3409957885742188
0,0.20510609447956085,2.2174928188323975,0.10496795177459717,2.7546730041503906
1,0.27272728085517883,2.0669949054718018,0.12019230425357819,2.368494749069214
2,0.312747985124588,1.979730248451233,0.10096153616905212,2.352169990539551
3,0.3358633816242218,1.9213266372680664,0.10256410390138626,2.4870660305023193
4,0.3598412871360779,1.8600796461105347,0.11538461595773697,2.7319247722625732
5,0.3774366080760956,1.8117190599441528,0.12019230425357819,3.119290828704834
6,0.3855442404747009,1.7663573026657104,0.08493589609861374,2.5824220180511475
7,0.41366222500801086,1.7033257484436035,0.08573717623949051,2.561964511871338
8,0.4300500154495239,1.651687741279602,0.12019230425357819,4.568061828613281
9,0.4473003149032593,1.5870457887649536,0.08814102411270142,19.29291534423828
0,0.20355355739593506,2.2023704051971436,0.12019230425357819,2.7911794185638428
1,0.27790236473083496,2.0626022815704346,0.12019230425357819,2.811290740966797
2,0.2951526641845703,2.0001144409179688,0.12019230425357819,2.4974703788757324
3,0.3322408199310303,1.931466817855835,0.12019230425357819,2.6637837886810303
4,0.3496636152267456,1.8740756511688232,0.11298076808452606,2.3989012241363525
5,0.3636363744735718,1.8136800527572632,0.1145833358168602,2.430229902267456
6,0.39520442485809326,1.7672771215438843,0.12019230425357819,2.9479150772094727
7,0.40693461894989014,1.7155247926712036,0.09294871985912323,2.4785492420196533
8,0.42590996623039246,1.6591439247131348,0.10576923191547394,4.296640872955322
9,0.44505777955055237,1.613113284111023,0.08653846383094788,2.577788829803467
0,0.2040710747241974,2.208536386489868,0.10176282376050949,2.358428716659546
1,0.2739347815513611,2.0697133541107178,0.09214743226766586,2.3214313983917236
2,0.30170777440071106,2.009518623352051,0.10256410390138626,2.5556130409240723
3,0.3289632499217987,1.9415051937103271,0.11698717623949051,2.4613516330718994
4,0.3451785445213318,1.894766926765442,0.09134615212678909,2.4654147624969482
5,0.36242884397506714,1.8529218435287476,0.11858974397182465,2.531102418899536
6,0.38243919610977173,1.7916737794876099,0.09054487198591232,2.3458311557769775
7,0.40003448724746704,1.7414218187332153,0.11137820780277252,2.411590576171875
8,0.41987234354019165,1.6801449060440063,0.12019230425357819,2.563216209411621
9,0.4395377039909363,1.6389739513397217,0.11939102411270142,3.168017864227295
